common_name,species,group,year
Chimpanzee,Pan troglodytes,Primate,1983-1987
Fruit fly,Drosophila melanogaster,Insect,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Lowland gorilla,Gorilla gorilla,Primate,1983-1987
Japanese macaque,Macaca fuscata,Primate,1983-1987
Domestic cat,Felis silvestris catus,Felid,1983-1987
California sea lion,Zalophus californianus,Marine mammal,1983-1987
European starling,Sturnus vulgaris,Songbird,1983-1987
Black-capped chickadee,Poecile atricapillus,Songbird,1983-1987
Banded rock rattlesnake,Crotalus lepidus,Reptile,1983-1987
Prairie rattlesnake,Crotalus viridis,Reptile,1983-1987
Gartersnake,Thamnophis butleri,Reptile,1983-1987
Gartersnake,Thamnophis melanogaster,Reptile,1983-1987
Gartersnake,Thamnophis sirtalis,Reptile,1983-1987
Rhesus macaque,Macaca mulatta,Primate,1983-1987
Squirrel monkey,Saimiri sciureus,Primate,1983-1987
Titi monkey,Callicebus moloch,Primate,1983-1987
Duck,Anas platyrhynchos,Bird,1983-1987
Brown lemming,Lemmus sibiricus,Rodent,1983-1987
Japanese quail,Coturnix japonica,Bird,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Japanese quail,Coturnix japonica,Bird,1983-1987
Rat,Rattus rattus,Rodent,1983-1987
European starling,Sturnus vulgaris,Songbird,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Tonkean macaque,Macaca tonkeana,Primate,1983-1987
Long-tailed macaque,Macaca fascicularis,Primate,1983-1987
vole,Microtus ochrogaster,Rodent,1983-1987
Montane vole,Microtus montanus,Rodent,1983-1987
Zebra finch,Taeniopygia guttata,Songbird,1983-1987
mouse,Mus musculus,Rodent,1983-1987
mouse,Mus musculus,Rodent,1983-1987
Pigeon,Columba livia,Bird,1983-1987
Betta,Betta splendens,Fish,1983-1987
mouse,Mus musculus,Rodent,1983-1987
newt,Triturus vulgaris,Amphibian,1983-1987
Cowbird,Molothrus ater,Songbird,1983-1987
rattlesnake,Crotalus viridis,Reptile,1983-1987
cuttlefish,Sepia officinalis,Cephalopod,1983-1987
Chimpanzee,Pan troglodytes,Primate,1983-1987
Duck,Anas platyrhynchos,Bird,1983-1987
chicken,Gallus gallus,Bird,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Honey bee,Apis mellifera,Insect,1983-1987
Deer mouse,Peromyscus maniculatus,Rodent,1983-1987
Golden hamster,Mesocricetus auratus,Rodent,1983-1987
Rhesus macaque,Macaca mulatta,Primate,1983-1987
Japanese macaque,Macaca fuscata,Primate,1983-1987
mouse,Mus musculus,Rodent,1983-1987
mouse,Peromyscus leucopus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Betta,Betta splendens,Fish,1983-1987
electric fish,Gnathonemus petersii,Fish,1983-1987
Meadow vole,Microtus pennsylvanicus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
Rhesus macaque,Macaca mulatta,Primate,1983-1987
Japanese macaque,Macaca fuscata,Primate,1983-1987
gerbil,Meriones unguiculatus,Rodent,1983-1987
mouse,Mus musculus,Rodent,1983-1987
Blowfly,Phormia regina,Insect,1983-1987
Japanese quail,Coturnix japonica,Bird,1983-1987
Japanese quail,Coturnix japonica,Bird,1983-1987
mouse,Mus musculus,Rodent,1983-1987
Rat,Rattus norvegicus,Rodent,1983-1987
gerbil,Meriones unguiculatus,Rodent,1983-1987
gerbil,Meriones unguiculatus,Rodent,1983-1987
